,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-01-31,152251400.0,8379100.0,94326400.0,53393800.0,90912900.0,88305600.0,761419500.0,78300000.0,39621200.0,995500000.0,7457700.0,6476000.0,8569000.0,8539300.0,19718300.0,3142800.0,2873250.0,1911300.0,38300.0,150600.0,20734730465,13778234614,13998400.0,8258600.0,7218500.0
2022-02-01,123155400.0,7636000.0,74433000.0,43429400.0,81607500.0,74929400.0,746456700.0,81100000.0,33003900.0,1204850000.0,9610000.0,3740400.0,11087000.0,9763900.0,34540500.0,4308300.0,2379025.0,2257000.0,20400.0,63100.0,20288500328,13194846235,20806100.0,16338700.0,13138500.0
2022-02-02,117361000.0,8856400.0,78777100.0,42777800.0,0.0,66319500.0,719672400.0,85200000.0,37636600.0,1414200000.0,4619300.0,1815600.0,7393800.0,9085300.0,19816500.0,3332600.0,5397150.0,2341100.0,45000.0,69900.0,19155189416,13876301217,18404600.0,5997100.0,5492000.0
2022-02-03,118024400.0,9339900.0,95384800.0,39629400.0,88710000.0,104951100.0,911775100.0,81100000.0,47345600.0,1623550000.0,5453100.0,1501400.0,7099600.0,10650800.0,28800600.0,5222200.0,2801550.0,1201300.0,42100.0,55500.0,18591534769,12755505065,17234100.0,8032600.0,3620800.0
2022-02-04,118454400.0,8532300.0,86318300.0,34291100.0,0.0,93799100.0,885041900.0,79600000.0,47412800.0,1832900000.0,6865600.0,2265400.0,9197300.0,9619600.0,24572200.0,4830400.0,2671225.0,1670200.0,29100.0,85700.0,29412210792,18987223729,23609800.0,8616400.0,9404700.0
2022-02-07,84472900.0,4746200.0,58198100.0,33242600.0,72651700.0,71120600.0,1073651000.0,77100000.0,38510200.0,2538100000.0,5860900.0,2424200.0,7632100.0,7796900.0,22888000.0,2247200.0,2996775.0,1397100.0,46400.0,61200.0,28641855926,15197063785,12962400.0,10294700.0,3555700.0
2022-02-08,81012000.0,4568400.0,64720900.0,28341900.0,95664200.0,80957900.0,804533800.0,76600000.0,39831700.0,2294900000.0,6106100.0,1772000.0,8280000.0,5802000.0,16005800.0,4923200.0,1728225.0,1453900.0,24700.0,45400.0,33079398868,17136080906,16269200.0,8111500.0,14355600.0
2022-02-09,92589900.0,4781700.0,55766400.0,27329300.0,86888200.0,85342900.0,992005300.0,93500000.0,45881400.0,2511100000.0,5746600.0,1487200.0,7728600.0,8002800.0,17908300.0,3933700.0,2192675.0,2476700.0,24900.0,182900.0,23245887300,13951308490,14349100.0,10113400.0,2976900.0
2022-02-10,140103700.0,10298500.0,112468500.0,44788100.0,86508200.0,94694700.0,831756900.0,82900000.0,46945200.0,2097900000.0,6948000.0,2955400.0,11837300.0,10693500.0,36468000.0,4787600.0,1618675.0,2255500.0,20100.0,154400.0,32142048537,18629485080,30896200.0,16633900.0,5892000.0
2022-02-11,153214600.0,8211500.0,101569100.0,41516600.0,82859100.0,100055100.0,909140800.0,81350000.0,39788800.0,2514700000.0,5679000.0,2660200.0,10952300.0,25741500.0,47248800.0,12309200.0,4205725.0,1741900.0,116400.0,145000.0,26954925781,16043881065,43210300.0,18315600.0,5432400.0
2022-02-14,123006300.0,7315100.0,80254400.0,32262700.0,117972900.0,119705200.0,925229500.0,79800000.0,53341700.0,1978800000.0,5350200.0,4524400.0,8473000.0,13650700.0,27999300.0,9540700.0,1957475.0,2028300.0,49400.0,67400.0,20827783012,12164552172,23157400.0,11090000.0,4375400.0
2022-02-15,88482700.0,4932200.0,55128800.0,25847500.0,92474100.0,83214500.0,808114200.0,76200000.0,38905400.0,2625900000.0,3612600.0,2662200.0,6383600.0,12603600.0,26993200.0,10076300.0,2032575.0,1187600.0,45500.0,108500.0,22721659051,13921257873,18198500.0,8490500.0,2127700.0
