,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-01-03,449.54833390042785,338.4263376991535,387.4975984401951,212.1474274833708,7195.81982421875,15943.16015625,7384.5,28954.560546875,4303.93994140625,23193.189453125,97.83779428764235,23.08959122622366,102.99578057320372,168.0,20.969999313354492,53.939998626708984,48.36000061035156,17.91954149905849,169.19000244140625,26.459999084472656,45835.96484375,3698.047607421875,126.21465531489916,101.54676055908203,76.20401678562767
2022-01-04,451.1896554356825,343.01282053900036,383.9924736762887,212.76652651972293,7250.240234375,16036.51953125,7384.5,28954.560546875,4342.25,23146.890625,99.04502633292581,23.380674383556787,104.18367890107166,168.72999572753906,21.190000534057617,55.25,49.279998779296875,18.02010845308546,173.0,27.010000228881836,45752.46484375,3723.349853515625,124.86746203057969,101.23481350049641,76.22190095220456
2022-01-05,444.26397897048724,339.99555924896924,374.95136768775416,206.9944844290388,7313.52978515625,16161.7197265625,7484.2998046875,29204.44921875,4367.02978515625,22851.5,96.19076977618055,22.722380099639494,101.15493828453174,168.89999389648438,21.0,55.43000030517578,50.0,17.97439683562772,172.5399932861328,26.68000030517578,42798.22265625,3456.745361328125,124.84127260416213,100.99416152415712,76.15944164863276
2022-01-06,441.56015426161895,338.10862813787384,371.1435057254151,205.56574100004073,7240.8798828125,15988.6298828125,7420.0,28487.869140625,4304.5400390625,22709.599609375,95.37159846870804,22.534290427158403,100.21185815154544,166.86000061035156,20.350000381469727,56.650001525878906,50.560001373291016,17.873827337588992,171.0,26.360000610351562,42645.5390625,3335.376708984375,124.47385053111836,100.70003505562066,76.08809493026781
2022-01-07,440.82012828151994,337.33346201628376,369.1029920183495,205.67051664802813,7178.18017578125,15862.7099609375,7431.89990234375,28293.69921875,4279.7099609375,23162.849609375,95.5095647972784,22.57907860391497,100.24813378250579,166.86000061035156,20.3700008392334,56.369998931884766,51.400001525878906,18.010967538694036,175.88999938964844,26.56999969482422,41077.4453125,3117.38134765625,123.83524349100267,100.2454794305646,76.06132676901854
2022-01-10,433.18296869450273,332.9524449648082,360.5793816053507,201.07950146618015,7105.5498046875,15724.23046875,7422.89990234375,28191.5947265625,4231.06005859375,23399.08984375,94.00913760238777,22.229774595006596,98.70654856892578,167.30999755859375,20.56999969482422,55.83000183105469,52.84000015258789,17.864685345290876,176.63999938964844,26.450000762939453,39796.5703125,2947.68359375,123.660274152124,100.16524005683466,76.04345703125
2022-01-11,438.353547255863,334.1295372050921,368.3023676843645,202.8416173712697,7160.43994140625,15880.3896484375,7445.2998046875,28089.490234375,4251.7998046875,23595.009765625,93.87117117467338,22.189471048452848,98.73375167507078,168.3699951171875,20.770000457763672,56.540000915527344,53.599998474121094,17.901255125605108,173.0,26.649999618530273,41407.75390625,3061.140625,124.83249625046147,100.3256499612553,75.98992668845062
2022-01-12,444.8901814454831,337.83779391379846,375.908254028343,204.44178277606346,7183.3798828125,15955.5400390625,7491.39990234375,28427.599609375,4289.0,24069.51953125,95.30261324383646,22.493990274635816,100.20278732399802,170.00999450683594,21.170000076293945,58.36000061035156,60.08000183105469,18.047539843379372,176.9600067138672,27.65999984741211,42528.98828125,3216.718017578125,125.09498615228296,100.70001129932554,76.04345703125
2022-01-13,439.6722949449081,336.6981639148321,367.7946976935009,203.241648490377,7166.93994140625,15941.7802734375,7530.10009765625,28444.9609375,4294.990234375,24289.189453125,95.0956497823051,22.462641095963832,99.94887278210504,169.27000427246094,21.260000228881836,58.209999084472656,56.599998474121094,17.983540663455102,173.8800048828125,27.5,42447.04296875,3247.91748046875,125.12118861323178,100.70006245772929,76.05240037860692
2022-01-14,436.31378591285176,332.9150201902656,365.9981523496402,200.57466975307213,7119.009765625,15833.73046875,7523.0,27889.2109375,4256.60986328125,24140.810546875,93.27615673068293,22.05512280475896,98.02643588875053,169.47999572753906,21.100000381469727,59.06999969482422,55.439998626708984,18.047539281418658,173.52999877929688,26.90999984741211,41982.6171875,3203.82373046875,124.03645924159973,100.316752439461,75.98102569580078
2022-01-17,434.1365224707098,331.14961649685085,363.51331605672874,199.12214439914112,7148.97998046875,15894.76953125,7543.0,28274.1796875,4274.25,24111.740234375,93.0304122789403,22.001386855162544,97.78158842973353,169.28499603271484,21.315000534057617,59.614999771118164,55.79999923706055,18.097823952642607,175.13999938964844,26.80500030517578,41680.3203125,3157.22412109375,123.26226326061527,99.93349169199202,75.91856172185132
2022-01-18,431.9592590285678,329.3842128034362,361.02847976381724,197.6696190452101,7098.18994140625,15669.349609375,7532.0,28129.66015625,4234.2900390625,24009.7109375,92.7846678271977,21.947650905566128,97.53674097071654,169.08999633789062,21.530000686645508,60.15999984741211,56.15999984741211,18.148108623866555,176.75,26.700000762939453,41392.21484375,3096.12353515625,122.48806727963081,99.55023094452304,75.85609774790187
2022-01-19,428.3066212921638,327.13291400542647,357.5526175177329,194.6692648753043,7104.10986328125,15629.8603515625,7525.2001953125,27314.41015625,4234.6201171875,23951.599609375,92.14653778076172,21.808828660399016,96.97453365777588,170.1999969482422,21.950000762939453,60.97999954223633,53.68000030517578,18.367532172158434,183.99000549316406,27.09000015258789,41242.9140625,3055.21240234375,122.74174458667743,99.68392548174597,75.89183382590541
