,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-01-03,453.2103576660156,341.5836181640625,392.1841125488281,214.6143798828125,7217.22021484375,16020.73046875,7505.2001953125,29301.7890625,4331.81982421875,23274.75,99.25198364257812,23.429933547973633,104.51922607421875,168.3300018310547,21.18000030517578,54.83000183105469,51.08000183105469,17.983539581298828,169.3300018310547,26.959999084472656,46458.1171875,3761.38037109375,126.2321548461914,101.54676055908203,76.22186279296875
2022-01-04,453.0586242675781,343.62933349609375,387.0972900390625,214.29049682617188,7317.41015625,16152.6103515625,7505.2001953125,29301.7890625,4367.6201171875,23289.83984375,99.13125610351562,23.41202163696289,104.3197021484375,169.57000732421875,21.31999969482422,55.59000015258789,49.7599983215332,18.102392196655273,174.11000061035156,27.260000228881836,45897.57421875,3794.056640625,125.7072525024414,101.49329376220703,76.2665023803711
2022-01-05,444.3588562011719,340.0982971191406,375.2052307128906,207.03257751464844,7376.3701171875,16271.75,7516.89990234375,29332.16015625,4392.14990234375,22907.25,96.29424285888672,22.740291595458984,101.22747802734375,169.05999755859375,21.0,55.43000030517578,51.20000076293945,18.0018253326416,173.97999572753906,26.700000762939453,43569.00390625,3550.386962890625,125.02497100830078,101.06546783447266,76.1683578491211
2022-01-06,443.9414367675781,338.51031494140625,374.9415283203125,208.21365356445312,7249.66015625,16052.0302734375,7450.39990234375,28487.869140625,4324.81005859375,23072.859375,96.38050079345703,22.776113510131836,101.2093505859375,166.99000549316406,20.510000228881836,56.88999938964844,51.20000076293945,17.983539581298828,174.0500030517578,26.59000015258789,43160.9296875,3418.408203125,125.34864044189453,100.81590270996094,76.1059341430664
2022-01-07,442.186279296875,338.4356994628906,370.87994384765625,205.8038787841797,7219.47998046875,15947.740234375,7485.2998046875,28478.560546875,4305.830078125,23493.380859375,95.74238586425781,22.6328182220459,100.52924346923828,167.75,20.6200008392334,56.66999816894531,52.08000183105469,18.13896369934082,179.60000610351562,26.889999389648438,41557.90234375,3193.21044921875,124.44759368896484,100.48612976074219,76.08808898925781
2022-01-10,441.6360168457031,337.01580810546875,371.1240539550781,205.0894775390625,7115.77001953125,15768.26953125,7445.2998046875,28350.5205078125,4239.52001953125,23746.5390625,95.19050598144531,22.502944946289062,100.02143096923828,168.25999450683594,20.760000228881836,56.15999984741211,54.959999084472656,17.9926815032959,177.63999938964844,26.610000610351562,41821.26171875,3083.097900390625,124.7537612915039,100.4593734741211,76.04345703125
2022-01-11,445.6586608886719,338.6506042480469,376.6990661621094,207.2706756591797,7183.3798828125,15941.8095703125,7491.39990234375,28222.48046875,4281.5400390625,23739.060546875,95.33709716796875,22.51190185546875,100.27533721923828,170.2899932861328,21.049999237060547,58.15999984741211,56.279998779296875,18.102392196655273,178.08999633789062,27.030000686645508,42735.85546875,3238.111572265625,125.5848159790039,100.70000457763672,76.0702133178711
2022-01-12,446.8634948730469,339.033447265625,378.19293212890625,205.72764587402344,7237.18994140625,16010.3203125,7551.7001953125,28765.66015625,4316.39013671875,24402.169921875,95.44921112060547,22.53429412841797,100.37508392333984,170.74000549316406,21.450000762939453,58.90999984741211,63.880001068115234,18.11153793334961,178.33999633789062,27.860000610351562,43949.1015625,3372.25830078125,125.10372924804688,100.71783447265625,76.04345703125
2022-01-13,440.7063903808594,337.39874267578125,368.73199462890625,203.84170532226562,7201.14013671875,16031.58984375,7563.89990234375,28489.130859375,4315.89990234375,24429.76953125,95.25949096679688,22.502944946289062,100.05768585205078,170.16000366210938,21.329999923706055,58.27000045776367,56.79999923706055,18.010969161987305,175.30999755859375,27.5,42591.5703125,3248.28857421875,126.21467590332031,101.03875732421875,76.07916259765625
2022-01-14,440.8865966796875,335.4744873046875,371.02642822265625,204.12744140625,7143.0,15883.240234375,7543.0,28124.279296875,4272.18994140625,24383.3203125,94.39716339111328,22.3059024810791,99.10554504394531,169.6699981689453,21.200000762939453,59.970001220703125,56.68000030517578,18.230392456054688,174.52000427246094,27.100000381469727,43099.69921875,3310.00146484375,124.30765533447266,100.34349060058594,75.98102569580078
2022-01-17,436.982666015625,333.0038299560547,366.4082336425781,201.0414047241211,7201.64013671875,15933.7197265625,7611.2001953125,28333.51953125,4302.14013671875,24218.029296875,93.90134811401367,22.20066738128662,98.66119766235352,169.52999877929688,21.445000648498535,60.470001220703125,57.0,18.239534378051758,175.74000549316406,26.97000026702881,42250.55078125,3212.304931640625,123.43285369873047,99.96468734741211,75.92302322387695
2022-01-18,433.0787353515625,330.5331726074219,361.7900390625,197.9553680419922,7133.830078125,15772.5595703125,7563.60009765625,28257.25,4257.81982421875,24112.779296875,93.40553283691406,22.09543228149414,98.21685028076172,169.38999938964844,21.690000534057617,60.970001220703125,57.31999969482422,18.248676300048828,176.9600067138672,26.84000015258789,42375.6328125,3164.025146484375,122.55805206298828,99.58588409423828,75.86502075195312
2022-01-19,428.5817565917969,327.2637023925781,357.8162536621094,194.73593139648438,7172.97998046875,15809.7197265625,7589.7001953125,27467.23046875,4268.27978515625,24127.849609375,92.14653778076172,21.817785263061523,96.98359680175781,172.0800018310547,22.3700008392334,61.04999923706055,53.79999923706055,18.559526443481445,186.07000732421875,27.09000015258789,41744.328125,3095.825927734375,123.4065933227539,99.8265380859375,75.9007568359375
2022-01-20,423.83819580078125,324.4427490234375,353.16876220703125,191.21176147460938,7194.16015625,15912.330078125,7585.0,27772.9296875,4299.60986328125,24952.349609375,90.96517181396484,21.517745971679688,95.77754974365234,171.64999389648438,22.6200008392334,60.65999984741211,51.31999969482422,18.522953033447266,192.88999938964844,27.579999923706055,40680.41796875,3001.1201171875,124.1676254272461,100.04045867919922,75.88288116455078
2022-01-21,415.51800537109375,320.0286865234375,343.37591552734375,187.63040161132812,7068.58984375,15603.8798828125,7494.10009765625,27522.259765625,4229.56005859375,24965.55078125,90.74095916748047,21.450571060180664,95.55084991455078,171.08999633789062,22.3799991607666,60.779998779296875,52.400001525878906,18.422386169433594,195.92999267578125,27.450000762939453,36457.31640625,2557.931640625,125.64604949951172,100.61979675292969,75.94532012939453
2022-01-24,417.2825927734375,321.3935241699219,344.94781494140625,191.9546661376953,6787.7900390625,15011.1298828125,7297.2001953125,27588.369140625,4054.360107421875,24656.4609375,90.9134292602539,21.50430679321289,95.7049789428711,172.02999877929688,22.110000610351562,60.11000061035156,53.279998779296875,18.39495849609375,198.86000061035156,27.100000381469727,36654.328125,2440.352294921875,124.61385345458984,100.53068542480469,75.98994445800781
2022-01-25,412.1879577636719,320.59893798828125,336.95147705078125,189.39251708984375,6837.9599609375,15123.8701171875,7371.5,27131.33984375,4078.260009765625,24243.609375,90.55126190185547,21.45952796936035,95.26973724365234,172.5800018310547,22.020000457763672,60.970001220703125,54.279998779296875,18.46809959411621,205.6699981689453,27.18000030517578,36954.00390625,2455.93505859375,124.41259002685547,100.39700317382812,75.95427703857422
