,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-01-03,451.87266685894554,340.33192048688306,389.6162820624403,213.08087521669398,7197.39990234375,15947.4404296875,7384.5,29098.41015625,4303.93994140625,23510.5390625,100.20914927144332,23.6762341146963,105.64367180259634,168.86000061035156,21.040000915527344,53.970001220703125,49.79999923706055,18.00182524588663,175.4199981689453,26.65999984741211,47343.54296875,3829.53564453125,128.077961624698,101.93893840901804,76.23077899038172
2022-01-04,454.64299031389396,343.13425879660514,392.73087417877196,215.2620375251733,7273.56982421875,16069.7998046875,7384.5,29098.41015625,4346.4501953125,23400.619140625,99.52791831135657,23.492629348092066,104.80938168789665,168.89999389648438,21.229999542236328,55.310001373291016,50.880001068115234,18.03839411694917,176.02999877929688,27.010000228881836,46458.8515625,3761.361572265625,125.62852464849729,101.31502799543573,76.22190095220456
2022-01-05,452.68856749188376,343.47975276834364,385.4081704291294,214.18574974277297,7320.47998046875,16177.4404296875,7505.2001953125,29288.80078125,4368.77978515625,23323.76953125,98.95878658002584,23.340370266989627,104.05673554992434,170.6199951171875,21.389999389648438,56.15999984741211,50.959999084472656,18.02925208583852,176.63999938964844,27.020000457763672,45899.359375,3794.26904296875,126.09221575503099,101.5111220737287,76.23972829058728
2022-01-06,443.89401262662926,340.1169481290499,373.3793771078004,207.47071490444088,7264.0,16076.16015625,7516.89990234375,29136.75,4372.4501953125,22843.19921875,96.41499402407807,22.780590956129046,101.32723372834802,167.16000366210938,20.3799991607666,57.099998474121094,51.15999984741211,17.95611108441713,171.75,26.420000076293945,43565.51171875,3549.708984375,124.73629017399816,100.83372588749634,76.12378016212702
2022-01-07,443.950903088569,338.04339118843234,374.9513764953744,208.2136697984283,7250.7900390625,15999.01953125,7450.39990234375,28711.529296875,4331.06982421875,23318.919921875,96.13042974777095,22.717903388307178,100.92824321951484,167.3699951171875,20.520000457763672,56.900001525878906,51.720001220703125,18.0475371229573,176.8000030517578,26.6299991607666,43153.5703125,3417.837890625,125.20866990122009,100.68221874096204,76.07916598042422
2022-01-10,438.970131895671,337.2773564095746,365.95913283619376,204.56560685964138,7245.2099609375,16006.4404296875,7485.2998046875,28546.21484375,4312.1298828125,23523.900390625,95.15601275370891,22.489510898946307,99.97608757258126,167.36000061035156,20.600000381469727,56.56999969482422,54.7599983215332,18.020108254973053,178.2899932861328,26.700000762939453,41910.23046875,3157.570556640625,123.9139572952382,100.22763137563993,76.0702192431414
2022-01-11,441.3704815356873,336.92250343144275,370.39176172405473,205.24187390383935,7185.2099609375,15918.8203125,7445.2998046875,28380.900390625,4251.7998046875,23678.689453125,95.08702620131757,22.525335902995415,100.00329067661137,168.44000244140625,20.84000015258789,56.95000076293945,53.91999816894531,17.96525320531121,178.00999450683594,26.829999923706055,41819.5078125,3082.990966796875,124.98996534855439,100.41478622238638,75.99884969380584
2022-01-12,447.40426908846183,339.76204808147827,379.27667708337356,208.13743651105074,7235.47021484375,16054.9296875,7491.39990234375,28449.529296875,4306.25,24069.51953125,95.3457314273999,22.51638092489321,100.20278732399802,170.19000244140625,21.18000030517578,58.369998931884766,60.880001068115234,18.16639493373881,180.35000610351562,27.719999313354492,42742.1796875,3238.449951171875,125.88229191464556,100.86935524646589,76.07914224919165
2022-01-13,447.97354766478816,340.21037938522056,379.57933620401457,206.50867140622404,7215.47998046875,15959.830078125,7551.7001953125,28658.220703125,4319.259765625,24561.48046875,95.71651471415774,22.610422449922005,100.72873206939033,170.08999633789062,21.450000762939453,59.02000045776367,59.63999938964844,18.1481081670142,176.5399932861328,27.729999542236328,43946.7421875,3372.10498046875,125.43611348670662,100.78027697868237,76.06132338704377
2022-01-14,437.5376357053383,334.6057479794995,366.20320932277355,201.91767961354836,7132.58984375,15929.3701171875,7563.89990234375,28246.990234375,4307.47998046875,24185.859375,94.7507073945692,22.386510173171406,99.55895132180117,170.22000122070312,21.239999771118164,59.099998474121094,55.84000015258789,18.05668211453217,174.8000030517578,27.0,42598.87109375,3248.648681640625,125.4623711097425,100.78022976595965,76.05239614680184
